المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,غير أردني,ذكر,0,18,277,195,114,20,0,7,4,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,أردني,أنثى,184,"3,100","3,333",901,199,69,33,19,5,1,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,أردني,ذكر,36,279,"2,301","3,059",941,190,76,22,18,5,0,0,1,1,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,غير أردني,أنثى,69,851,731,232,38,6,5,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,غير أردني,ذكر,7,86,687,718,380,116,12,17,11,0,0,0,0,0,7
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,أردني,أنثى,99,"2,100","2,730",902,170,72,27,12,4,0,0,0,1,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,أردني,ذكر,16,175,"1,688","2,419",930,199,52,23,8,1,4,2,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,غير أردني,أنثى,93,910,707,209,113,20,11,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,غير أردني,ذكر,8,70,658,723,373,56,23,18,0,4,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,أردني,أنثى,226,"2,891","4,172","1,752",328,93,46,24,10,5,1,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,أردني,ذكر,97,266,"2,207","3,673","1,558",351,75,44,12,6,11,3,1,0,1
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,غير أردني,أنثى,182,"1,303","1,178",346,78,50,7,0,0,0,7,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,غير أردني,ذكر,22,185,"1,100","1,220",522,116,31,12,11,0,17,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,أردني,أنثى,64,"1,040","1,692",812,165,40,9,5,2,0,0,0,0,0,0
