"","GOV_CODE","GOV_NAME_AR","LUAA_CODE","LUAA_NAME_AR","DISTRICT_CODE","DISTRICT_NAME_AR","COLLECTION_CODE","COLLECTION_NAME_AR","AREA_CODE","AREA_NAME_AR","QUERTER_CODE","QUERTER_NAME_AR","MALE_JORD","FEMALE_JORD","PER_JORD","FAM_JORD","متوسط حجم الاسرة يحسب كما يلي","MALE_OTH","FEMALE_OTH","PER_OTH","FAM_OTH","MALE_SYR","FEMALE_SYR","PER_SYR","FAM_SYR","MALE_PLST","FEMALE_PLST","PER_PLST","FAM_PLST","MALE_EGPT","FEMALE_EGPT","PER_EGPT","FAM_EGPT","MALE_IRQ","FEMALE_IRQ","PER_IRQ","FAM_IRQ","MALE_EMN","FEMALE_EMN","PER_EMN","FAM_EMN","MALE_LYP","FEMALE_LYP","PER_LYP","FAM_LYP","TOT"
"33","11","العاصمة","1105","وادي السير","11051","وادي السير","11051016","ابو السوس","1105101601","ابو السوس","110510160101","ابو السوس",350,322,672,138,NA,0,38,38,5,0,4,4,1,0,7,7,0,8,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,729
"34","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101102","أحد","110610110217","قعفور",55,26,81,20,NA,24,0,24,5,152,128,280,66,0,0,0,0,310,0,310,46,0,0,0,0,3,0,3,2,0,0,0,0,698
"35","11","العاصمة","1109","ناعور","11091","ناعور","11091022","بلعاس","1109102201","بلعاس","110910220101","بلعاس",970,916,1886,432,NA,0,84,84,17,4,28,32,11,84,63,147,22,76,18,94,15,0,0,0,0,0,0,0,0,0,0,0,0,2243
"36","11","العاصمة","1101","قصبة عمان","11011","عمان","11011113","المدينه","1101111301","المدينة","110111130107","الرجوم",353,321,674,173,NA,158,154,312,70,325,249,574,126,14,35,49,9,499,123,622,78,47,37,84,37,9,0,9,3,0,0,0,0,2324
"37","11","العاصمة","1105","وادي السير","11051","وادي السير","11051024","الدبة","1105102401","الدبة","110510240101","الدبة",269,167,436,126,NA,0,0,0,0,0,0,0,0,0,7,7,2,87,23,110,12,0,0,0,0,0,0,0,0,0,0,0,0,553
"38","11","العاصمة","1107","الجيزة","11071","الجيزة","11071036","الزميلة","1107103601","الزميلة","110710360101","الزميله",1319,1372,2691,541,NA,6,3,9,0,12,16,28,8,14,14,28,2,436,27,463,59,6,2,8,2,18,3,21,6,0,0,0,0,3248
"39","11","العاصمة","1105","وادي السير","11051","وادي السير","11051019","الرجاحة","1105101901","الرجاحة","110510190101","الرجاحة",533,522,1055,221,NA,0,10,10,2,0,0,0,0,14,21,35,5,23,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,1123
"40","11","العاصمة","1107","الجيزة","11072","ام الرصاص","11072027","البحيرات(منشية السواريه)","1107202701","البحيرات(منشية السواريه)","110720270101","البحيرات(منشية السواريه)",295,264,559,89,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559
"41","11","العاصمة","1107","الجيزة","11071","الجيزة","11071011","الجيزة","1107101101","الجيزة","110710110119","زويزيا",222,199,421,93,NA,8,0,8,6,4,0,4,2,0,0,0,0,195,0,195,47,0,0,0,0,3,0,3,2,0,0,0,0,631
"42","11","العاصمة","1104","الجامعة","11041","الجامعة","11041011","الجبيهة","1104101118","الجبيهة","110410111809","المنصور",1464,1427,2891,643,NA,71,146,217,53,68,109,177,42,161,63,224,31,364,54,418,96,62,48,110,25,0,0,0,0,0,0,0,0,4037
"43","11","العاصمة","1103","القويسمة","11031","القويسمة","11031012","خريبة السوق وجاوا واليادودة","1103101212","خريبة السوق وجاوة","110310121216","الامل",3,2,5,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"44","11","العاصمة","1102","ماركا","11021","ماركا","11021112","النصر","1102111204","النصر","110211120403","المنارة",20160,19397,39557,8613,NA,19,84,103,24,1285,1409,2694,550,2471,2135,4606,710,729,318,1047,153,22,28,50,12,31,11,42,11,0,0,0,0,48099
"45","11","العاصمة","1108","الموقر","11082","رجم الشامي","11082012","سالم","1108201201","سالم","110820120101","سالم",4533,4090,8623,1631,NA,15,24,39,9,1000,963,1963,339,679,637,1316,171,481,190,671,106,6,0,6,3,0,0,0,0,0,0,0,0,12618
"46","11","العاصمة","1101","قصبة عمان","11011","عمان","11011111","العبدلي","1101111109","العبدلي","110111110903","الشميساني",8460,9147,17607,4936,NA,2389,3629,6018,991,882,962,1844,427,798,399,1197,208,3225,685,3910,630,1790,1627,3417,899,845,850,1695,331,654,522,1176,174,36864
"47","11","العاصمة","1101","قصبة عمان","11011","عمان","11011116","بدر","1101111607","بدر","110111160704","الهلال",17664,17213,34877,7617,NA,89,255,344,94,2039,2056,4095,812,1841,1526,3367,566,814,447,1261,202,89,76,165,41,15,15,30,6,62,66,128,17,44267
