المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الرؤية,,السمع,,المشي,,التذكر أو التركيز,,العناية الشخصية,,التواصل,
,,,,,,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا
,,,,,,SEEING_3,SEEING_4,HEARING_3,HEARING_4,WALKING_3,WALKING_4,CON_3,CON_4,CARE_3,CARE_4,COMM_3,COMM_4
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثالث,16,0,5,3,30,10,16,1,16,5,14,6
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الرابع,52,7,22,5,73,28,34,13,32,24,19,9
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الخامس,88,4,48,6,123,27,31,13,23,22,22,19
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,السادس,127,12,38,8,153,50,57,16,76,39,26,22
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,السابع,99,10,65,7,139,31,47,15,42,23,51,22
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثامن,52,0,12,5,92,21,19,9,32,24,23,7
العاصمة,وادي السير,وادي السير,البصة,البصة,البصة,16,2,7,1,21,21,11,9,11,19,12,9
العاصمة,وادي السير,وادي السير,عراق الامير,عراق الامير,عراق الامير,28,0,11,0,29,4,20,6,18,7,14,5
العاصمة,وادي السير,وادي السير,ابو السوس,ابو السوس,ابو السوس,1,0,0,0,1,1,1,0,1,0,0,0
العاصمة,وادي السير,وادي السير,البحاث,البحاث,البحاث,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,وادي السير,وادي السير,الالمانية والقصبات,الالمانية والقصبات,الالمانية والقصبات,9,0,6,0,16,1,5,2,2,2,2,2
العاصمة,وادي السير,وادي السير,الرجاحة,الرجاحة,الرجاحة,0,0,0,0,1,1,2,0,1,1,0,0
العاصمة,وادي السير,وادي السير,الثغرة,الثغرة,الثغرة,0,0,8,0,0,7,0,0,0,0,0,0
العاصمة,وادي السير,وادي السير,الحامدية,الحامدية,الحامدية,3,0,0,3,3,0,8,0,6,0,3,0
العاصمة,وادي السير,وادي السير,وادي الشتاء,وادي الشتاء,وادي الشتاء,1,5,0,5,4,1,0,5,4,1,0,5
العاصمة,وادي السير,وادي السير,الطبقة,الطبقة,الطبقة,3,0,3,0,7,1,3,0,5,1,1,0
العاصمة,وادي السير,وادي السير,الدبة,الدبة,الدبة,0,2,0,0,7,1,0,0,1,0,0,1
العاصمة,وادي السير,وادي السير,ام نجاصة,ام نجاصة,ام نجاصة,0,0,0,0,1,0,0,0,0,0,0,0
العاصمة,وادي السير,وادي السير,الفحص,الفحص,الفحص,1,0,0,0,0,0,0,0,0,0,0,0
العاصمة,وادي السير,وادي السير,النعير,النعير,النعير,10,1,2,0,12,8,8,2,6,7,2,2
العاصمة,وادي السير,وادي السير,الدير,الدير,الدير,17,0,6,1,34,4,5,9,10,5,4,5
العاصمة,سحاب,سحاب,سحاب,سحاب,الاول,300,23,118,43,434,71,140,38,110,58,125,56
العاصمة,سحاب,سحاب,سحاب,سحاب,الثاني,126,17,50,17,173,49,75,34,64,41,53,42
العاصمة,سحاب,سحاب,سحاب,سحاب,الثالث,401,29,174,38,571,140,213,115,180,112,162,84
العاصمة,سحاب,سحاب,سحاب,أحد,العبدليه,119,15,69,20,138,39,50,17,54,42,61,30
العاصمة,سحاب,سحاب,سحاب,أحد,زملة العليا,0,0,0,0,0,0,0,0,0,0,0,0
