المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحمر,74,104,2,11,0,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفروسية,292,483,13,13,4,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,حدائق الحسين,554,731,30,33,0,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,دابوق,"1,089","1,143",22,44,2,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,"7,648","10,672",293,860,24,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,"2,537","3,942",93,204,10,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,"7,764","10,316",203,432,30,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,"15,004","20,352",518,"1,155",59,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,"10,489","14,421",351,875,57,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,"17,379","19,137",523,982,108,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,"15,204","19,227",545,"1,302",82,,,,,,
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,"4,930","6,941",169,307,25,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,السعاده,"4,383","6,102",139,282,12,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,البساله,"3,769","4,039",119,341,23,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الامانه,"6,011","8,338",208,451,33,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,المحبه,"3,060","3,748",114,149,4,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الفاروق,"3,799","4,554",161,293,29,,,,,,
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الضياء,"1,119","1,616",51,49,8,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ذهيبة,"3,953","4,005",82,174,13,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ابو القرام,591,944,24,46,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,المروج,"2,468","3,600",41,145,7,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ياجوز,"1,457","2,208",43,83,2,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,مرج الفرس,593,900,23,41,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام بلانة,489,553,8,20,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,طاب كراع,"2,713","3,817",99,201,3,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الموحدين,599,762,23,37,2,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,القصبات,"1,305","1,489",24,50,1,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام العروق,337,470,9,15,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,أم حجير,"1,986","2,834",66,136,8,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,عيون الذيب,571,695,9,27,1,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الكوم الغربي,339,626,6,16,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الكوم الشرقي,68,77,1,0,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الأمير حمزة,"2,713","4,156",104,187,10,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام شطيرات,35,105,1,0,0,,,,,,
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,غير مسمى,94,98,0,2,0,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الروابي,"15,503","20,907",756,"1,663",92,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصويفية,"7,122","8,311",246,508,62,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الجندويل,"7,540","10,699",358,652,38,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الرونق,"9,035","11,709",260,617,28,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,وادي السير,"12,150","18,569",293,711,20,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصناعة,"2,521","3,600",53,143,9,,,,,,
