المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,CASEWHENNAT_CODE=401THEN'أردني'ELSE'غيرأردني'END,CASEWHENQ88=1THEN'ذكر'ELSE'انثى'END,وزارة الصحة,الخدمات الطبية الملكية,المستشفيات الجامعية,وكالة الغوث,تأمين خاص,خدمة صحية مجانية,خارج الأردن,أخرى
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,أردني,ذكر,463,259,3,90,112,196,0,3
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,غير أردني,انثى,0,0,0,28,7,0,0,21
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,غير أردني,ذكر,0,0,0,28,16,0,0,21
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,أردني,انثى,"1,975",855,76,102,809,849,4,112
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,أردني,ذكر,"1,642",836,60,124,967,934,14,87
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,غير أردني,انثى,0,0,7,109,206,0,0,91
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,غير أردني,ذكر,0,0,14,122,348,0,12,165
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,أردني,انثى,"3,413","1,014",153,922,"1,283","1,511",5,228
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,أردني,ذكر,"3,202",919,134,903,"1,560","1,606",18,236
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,غير أردني,انثى,0,0,23,724,299,0,15,253
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,غير أردني,ذكر,0,0,35,969,450,0,55,330
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,أردني,انثى,"7,065","3,111",296,194,"2,726","2,328",22,326
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,أردني,ذكر,"6,674","2,854",298,161,"3,345","2,312",74,308
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,غير أردني,انثى,0,0,35,333,447,0,48,725
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,غير أردني,ذكر,0,0,83,400,556,0,147,428
العاصمة,ماركا,ماركا,بسمان,بسمان,الجرن,أردني,انثى,"5,242","2,138",421,446,"3,103","1,430",51,155
العاصمة,ماركا,ماركا,بسمان,بسمان,الجرن,أردني,ذكر,"4,785","2,039",400,389,"3,575","1,551",98,130
