محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,12,30,3,15,3,16,4,1
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,19,34,13,31,9,83,13,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,المدينة الطبية,0,0,0,0,0,0,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,2,6,2,4,1,1,5,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,24,48,21,21,17,28,32,1
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,2,9,4,4,1,4,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,دابوق,5,2,0,3,0,3,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ابو القرام,1,0,0,0,1,3,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,القصبات,1,2,1,4,1,2,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,المروج,9,7,0,4,0,5,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,الموحدين,0,1,0,0,0,2,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام العروق,1,5,5,3,0,3,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام بلانة,1,5,0,1,0,0,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ذهيبة,2,7,2,3,0,3,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,طاب كراع,3,6,2,2,1,1,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,مرج الفرس,0,3,1,0,1,1,0,0
