محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,ام قصير,110310131301,3608,3439,7047
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,110310121202,17715,16372,34087
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,110310121201,5378,5177,10555
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حى الوفاء,110310121212,765,677,1442
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الابرار,110310121205,185,116,301
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاحسان,110310121209,410,369,779
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الامل,110310121217,7,2,9
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاندلس,110310121207,3282,3131,6413
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الايمان,110310121203,1613,1423,3036
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي التقوى,110310121208,2428,4499,6927
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الربيع,110310121219,41,25,66
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الصفاء,110310121214,290,161,451
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الفرقان,110310121206,263,224,487
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي المجد,110310121216,37,17,54
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الهداية,110310121218,23,26,49
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الجنوبي,110310121211,3351,3174,6525
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الشمالي,110310121210,4095,3798,7893
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي غمدان,110310121204,1573,1495,3068
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي قباء ,110310121213,1476,1357,2833
