محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,مدني,عسكري,جامعات رسميه,خاص
العاصمة,لواء سحاب,قضاء سحاب,قعفور,قعفور,قعفور,2,0,0,0
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,الشميساني,3421,704,586,3567
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,المدينة الرياضية,2289,500,271,1834
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل الحسين,11893,1461,943,3662
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل اللويبدة,2865,727,196,1944
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,الرجوم,260,66,1,86
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,العدلية,518,148,14,165
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,القلعة,916,173,50,207
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المدرج,256,43,9,62
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المهاجرين,955,263,15,184
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,جبل الجوفة,1165,308,47,234
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي الحدادة,2382,591,69,438
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي السرور,296,19,8,61
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,الاشرفية,10920,2613,357,2306
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,العودة,16111,1496,345,2652
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,جبل التاج,16877,5128,501,3386
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الاخضر,16919,3502,626,3955
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الحمرانية,346,52,14,117
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الذراع,11041,1804,440,2111
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الهلال,7134,898,426,2322
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الياسمين,2900,301,186,1344
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الروضة,10096,1148,424,3401
