محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,1.1031E+11,6382,5869,12251
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,1.1031E+11,2363,1979,4342
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,1.1031E+11,289,126,415
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,النهارية,1.1031E+11,15374,14245,29619
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام الحيران,1.1031E+11,5204,4535,9739
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام نوارة,1.1031E+11,10227,9740,19967
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حطين,1.1031E+11,3510,3451,6961
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حي جديد,1.1031E+11,2280,1600,3880
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحرية,1.1031E+11,1198,1054,2252
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحسنية,1.1031E+11,3188,2578,5766
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الصحابة,1.1031E+11,520,495,1015
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الكرامة,1.1031E+11,141,142,283
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,المقابلين,1.1031E+11,10642,9780,20422
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,ام قصير,1.1031E+11,3608,3439,7047
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,1.1031E+11,17715,16372,34087
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,1.1031E+11,5378,5177,10555
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حى الوفاء,1.1031E+11,765,677,1442
